gene,fdr,stat
PSMD6,0,0
PSMB2,0,0
NUP98,0,0
RPS13,0,0
PSMD11,0,0
COPB1,0,0
PSMC4,0,0
RPL11,7.153846153846155e-4,1e-4
POLR2A,7.153846153846155e-4,1e-4
RPS19,7.153846153846155e-4,1e-4
COPS4,7.153846153846155e-4,1e-4
POLR2D,7.153846153846155e-4,1e-4
PSMD7,7.153846153846155e-4,1e-4
RPL3,0.002188235294117647,4e-4
RPL18A,0.001992857142857143,3e-4
POLR2F,0.002188235294117647,4e-4
NUP205,0.002188235294117647,4e-4
NUP54,0.0046500000000000005,9e-4
NUP93,0.006873913043478261,0.0017
RPS8,0.005115000000000001,0.0011
COPA,0.0054954545454545456,0.0013
RPS9,0.0054954545454545456,0.0013
PSMC2,0.005115000000000001,0.0011
POLA1,0.0093,0.0024
RPS3A,0.011904000000000001,0.0032
COPS6,0.013234615384615386,0.0037
RPL36,0.01928888888888889,0.0056
PSMC1,0.020260714285714288,0.0061
COPS8,0.03174827586206897,0.0099
COPS2,0.049600000000000005,0.016
RPS11,0.05060294117647059,0.0176
PSMD1,0.05060294117647059,0.0185
RPL34,0.0501,0.0167
RPS27,0.05060294117647059,0.0185
COPZ1,0.058125,0.0225
RPL5,0.060827027027027025,0.0242
RPL35A,0.058125,0.0219
NUP133,0.06607894736842104,0.027
RPL9,0.08059999999999999,0.0338
PSMA3,0.18321,0.0788
RPL6,0.20074390243902437,0.0885
RPL30,0.2265214285714286,0.1023
PSMB3,0.249153488372093,0.1152
RPS24,0.35065227272727273,0.1659
RPL27,0.9999,0.4954
RPS7,0.9999,0.7533
LYZL6,0.9999,0.9696
OTUD6A,0.9999,0.984
IL1F10,0.9999,0.9851
MRGPRD,0.9999,0.9862
RPTN,0.9999,0.9872
KRT25,0.9999,0.9887
PIWIL3,0.9999,0.99
CRYGB,0.9999,0.9904
IL22,0.9999,0.9914
TPH2,0.9999,0.9919
DMRTC2,0.9999,0.992
HTR3D,0.9999,0.9924
DMRTB1,0.9999,0.9937
RNASE9,0.9999,0.9928
OC90,0.9999,0.9943
OR9Q2,0.9999,0.9951
KRT74,0.9999,0.9954
NPHS2,0.9999,0.9956
RXFP2,0.9999,0.9961
FCRL4,0.9999,0.9961
OLIG2,0.9999,0.9963
CYP7A1,0.9999,0.9971
SPATA16,0.9999,0.9977
FAM71B,0.9999,0.9981
LHX5,0.9999,0.9984
KRT9,0.9999,0.9986
CABP5,0.9999,0.9986
TRIM42,0.9999,0.9987
LUZP4,0.9999,0.9987
ADH7,0.9999,0.9988
SAGE1,0.9999,0.9993
NPSR1,0.9999,0.9994
ABCG8,0.9999,0.9995
MAGEB3,0.9999,0.9995
TAS2R13,0.9999,0.9996
VN1R2,0.9999,0.9996
NLRP5,0.9999,0.9997
OR12D2,0.9999,0.9997
POU4F2,0.9999,0.9997
TAAR8,0.9999,0.9997
DEFB129,0.9999,0.9997
TAS2R9,0.9999,0.9997
TAAR1,0.9999,0.9998
KRT77,0.9999,0.9998
TGM6,0.9999,0.9999
PLA2G2E,0.9999,0.9999
OR52E8,0.9999,0.9999
